,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket,adult,id,imdb_id,original_title,overview,popularity,tagline,title,genres_edited,spoken_languages_edited,production_countries_edited,keywords_edited,year_released
120,5000000,Other,USA,Other,Action,6880310,Death Wish 4: The Crackdown,R,6.11.1987 00:00,99,5.3,Charles Bronson,6770,Brian Garfield,1987,1,0.376062,40,FALSE,26263,tt0092857,Death Wish 4: The Crackdown,"After the death of his girlfriend's daughter from a drug overdose, Paul Kersey (Charles Bronson) takes on the local drug cartel.",4.566325,This time it's war!,Death Wish 4: The Crackdown,"Thriller, Action, Adventure, Crime",en,US,,1987
121,4000000,Other,USA,Other,Fantasy,800000,The Barbarians,R,20.03.1987 00:00,87,4.9,David Paul,2538,Alberto Piferi,1987,0,-0.8,-80,FALSE,27551,tt0092615,The Barbarians,Orphaned brothers Kutchek and Gore are adopted by a tribe led by Canary the owner of a powerful jewel. The evil Kadar wants both Canary and the jewel. Attacking the tribe he kidnaps Canary but the stone eludes him. The brothers are taken to be trained as gladiators and years later have grown to be VERY big. They escape and set off on a quest to find the jewel and rescue Canary.,1.489798,Warriors. Conquerors. Heroes.,The Barbarians,"Fantasy, Adventure","en, it, es","IT, US","dragon, barbarian",1987
122,55000000,Columbia Pictures Corporation,USA,Other,Action,14375181,Ishtar,PG-13,15.05.1987 00:00,107,4.2,Warren Beatty,9094,Elaine May,1987,0,-0.7386330729999999,-70,FALSE,12704,tt0093278,Ishtar,"Two terrible lounge singers get booked to play a gig in a Moroccan hotel but somehow become pawns in an international power play between the CIA, the Emir of Ishtar, and the rebels trying to overthrow his regime",3.986985,,Ishtar,"Action, Adventure, Comedy",en,US,"wilderness, sahara, beautiful woman, singer, escape, woman director",1987
123,100000,Other,USA,Other,Comedy,5228617,Hollywood Shuffle,R,20.03.1987 00:00,78,7.0,Robert Townsend,3009,Robert Townsend,1987,1,51.28617,5130,FALSE,34101,tt0093200,Hollywood Shuffle,"Aspiring actor and hot-dog stand employee Bobby Taylor catches the ire of his grandmother for auditioning for a role in the regrettably titled exploitation film ""Jivetime Jimmy's Revenge."" When Tinseltown Studios casts Taylor in the title role, he has a series of conflicted dreams satirizing African-American stereotypes in Hollywood, and must reconcile his career goals with his desire to remain a positive role model for his little brother.",6.502861,"Bobby Taylor was on his way to becoming a star, when a funny thing happened...",Hollywood Shuffle,Comedy,en,,"black people, ethnic stereotype",1987
124,22000000,Other,USA,Other,Action,11307844,Extreme Prejudice,R,24.04.1987 00:00,96,6.6,Nick Nolte,4924,John Milius,1987,0,-0.486007091,-50,FALSE,20287,tt0092997,Extreme Prejudice,"A Texas Ranger and a ruthless narcotics kingpin - they were childhood friends, now they are adversaries.",6.407061,"An army of forgotten heroes, all officially dead. They live for combat. Now they've met the wrong man.",Extreme Prejudice,"Action, Crime, Drama, Thriller, Western","en, es",US,"robbery, texas, mexican standoff, texas ranger, organized crime, violence, drug, kingpin, modern western, neo-noir",1987
125,350000,Other,USA,Other,Action,4000000,American Ninja 2: The Confrontation,R,1.05.1987 00:00,90,4.8,Michael Dudikoff,6565,Gary Conway,1987,1,10.42857143,1040,FALSE,25678,tt0092548,American Ninja 2: The Confrontation,"On a remote Caribbean island, Army Ranger Joe Armstrong saves an old friend from the clutches of ""The Lion"", an evil super-criminal who has kidnapped a local scientist and mass-produced an army of mutant Ninja warriors.",4.2375110000000005,,American Ninja 2: The Confrontation,"Action, Adventure, Drama",en,US,"marine corps, army, ninja",1987
126,4000000,Other,USA,Other,Drama,1680358,Matewan,PG-13,30.06.1988 00:00,135,7.9,Chris Cooper,6198,John Sayles,1987,0,-0.5799105,-60,FALSE,24276,tt0093509,Matewan,"Filmed in the coal country of West Virginia, ""Matewan"" celebrates labor organizing in the context of a 1920s work stoppage. Union organizer, Joe Kenehan, a scab named ""Few Clothes"" Johnson and a sympathetic mayor and police chief heroically fight the power represented by a coal company and Matewan's vested interests so that justice and workers' rights need not take a back seat to squalid working conditions, exploitation and the bottom line.",3.3501260000000004,It takes more than guns to kill a man.,Matewan,Drama,"en, it",US,independent film,1988
127,24000000,Columbia Pictures,USA,Other,Action,4916871,Leonard Part 6,PG,18.12.1987 00:00,85,2.2,Bill Cosby,7387,Jonathan Reynolds,1987,0,-0.795130375,-80,FALSE,24828,tt0093405,Leonard Part 6,"After separating from his wife, Leonard Parker (Cosby) quit the spy business and became a restaurateur. His wife refuses to speak with him, and his daughter, who changes her career more often than her clothes, has begun dating a man old enough to be Leonard's father! On top of it all, the government has asked him to come back and save the world again.",3.47537,,Leonard Part 6,"Action, Comedy",en,US,spy,1987
128,5000000,Other,USA,Other,Crime,1119112,Street Smart,R,20.03.1987 00:00,97,6.4,Christopher Reeve,2096,David Freeman,1987,0,-0.7761776,-80,FALSE,60631,tt0094056,Street Smart,A New York journalist lies when his fake story about a pimp describes a real pimp up for murder.,7.721588000000001,Never let the truth ruin a good story.,Street Smart,"Thriller, Crime, Drama",en,"US, CA",,1987
129,9000000,Other,USA,Other,Action,5406879,The Sicilian,R,23.10.1987 00:00,115,5.3,Christopher Lambert,3889,Mario Puzo,1987,0,-0.399235667,-40,FALSE,31945,tt0093966,The Sicilian,"Egocentric bandit Salvatore Guiliano fights the Church, the Mafia, and the landed gentry while leading a populist movement for Sicilian independence.",5.9792879999999995,Only one man ever dared to stand alone.,The Sicilian,Drama,en,US,"sicily, sicilian mafia, sicilian",1987
130,7000000,Other,USA,Other,Comedy,7019441,Hiding Out,PG-13,6.11.1987 00:00,98,6.4,Jon Cryer,2584,Joe Menosky,1987,1,0.002777286,0,FALSE,26156,tt0093186,Hiding Out,A very successful stock broker is called to court to testify against a mob boss who was into some inside trading. Andrew Morenski must become Max Hauser and go back to high school for protection from the mob.,2.026942,There's only one thing more frightening than murder.. High School,Hiding Out,"Action, Adventure, Comedy, Drama, Family, Thriller",en,,"high school, youth",1987
131,10000000,Other,USA,Other,Action,3060858,Malone,R,1.05.1987 00:00,92,5.6,Burt Reynolds,1959,Christopher Frank,1987,0,-0.6939142,-70,FALSE,27342,tt0093483,Malone,"Erstwhile C.I.A. assassin Richard Malone hopes for a tranquil retirement in the placid Pacific Northwest, but what he gets is a rumble with a right-wing extremist plotting a secret revolution. Adapted from the novel ""Shotgun,"" by William Wingate.",4.904109,"Ex-Cop, Ex-CIA, Explosive",Malone,"Action, Thriller",en,US,"cia, assassin",1987
132,6000000,Other,Other,Other,Action,1432687,A Prayer for the Dying,R,11.09.1987 00:00,107,6.4,Mickey Rourke,3731,Jack Higgins,1987,0,-0.7612188329999999,-80,FALSE,33851,tt0093771,A Prayer for the Dying,"Jack Higgins' straightforward thriller about a guilt-ridden IRA bomber forced into ""one last job""",2.527521,Freedom always comes with a price.,A Prayer for the Dying,"Crime, Drama, Action, Thriller","en, hu",GB,"bomber, ira",1987
133,5300000,Columbia Pictures,Other,Other,Crime,3107551,White Mischief,R,6.05.1988 00:00,107,6.3,Sarah Miles,2171,James Fox,1987,0,-0.413669623,-40,FALSE,60041,tt0094317,White Mischief,"A millionaire past his prime and his young wife arrive in Kenya circa 1940 to find that the other affluent British expatriates are living large as the homefront gears up for war. They are busy swapping partners, doing drugs, and attending lavish parties and horse races. She begins a torrid affair with one of the bon vivants, and her husband finds out and confronts them. The husband and wife decide to break up peacefully, but the bon vivant is murdered and all the evidence points to the husband.",7.312595,"In a world of wife swapping, drugs and chocolate covered lobsters, murder seemed so uncivilised.",White Mischief,"Thriller, Crime, Drama, Romance",en,GB,,1988
134,3520000,Other,USA,Other,Action,562187,Steel Dawn,R,31.03.1988 00:00,100,5.0,Patrick Swayze,3860,Doug Lefler,1987,0,-0.840287784,-80,FALSE,27786,tt0094033,Steel Dawn,"In a post-apocalyptic world, a warrior wandering through the desert comes upon a group of settlers who are being menaced by a murderous gang that is after the water they control.",2.605644,"he is the desert warrior, carving the future with his sword.",Steel Dawn,"Action, Adventure, Science Fiction",en,US,"post-apocalyptic, independent film, water shortage, desert",1988
135,25000000,Warner Bros.,USA,Other,Drama,30950002,Nuts,R,11.12.1987 00:00,116,6.7,Barbra Streisand,4996,Tom Topor,1987,1,0.23800008,20,FALSE,40634,tt0093660,Nuts,"A high-class call girl kills a customer in self-defense. To avoid scandal, her parents try to have her declared mentally incompetent. Not helping matters is that she is very distrustful of everybody, including her court-appointed attorney, and is very disruptive during her court hearings.",2.258245,Mad As In Angry. Or Just Plain... NUTS,Nuts,Drama,en,US,"hearing, self-defense, court, murder",1987
136,11000000,Other,USA,Barry Levinson,Comedy,25411386,Tin Men,R,13.03.1987 00:00,112,6.5,Richard Dreyfuss,6960,Barry Levinson,1987,1,1.3101260000000001,130,FALSE,10896,tt0094155,Tin Men,A minor car accident drives two rival aluminum-siding salesmen to the ridiculous extremes of man versus man in 1963 Baltimore.,6.477975,"The Year - 1963. Selling the American Dream is a risky, funny business - you could wind up paying with your wife!",Tin Men,"Comedy, Drama",en,US,"competition, friendship, hostility, car accident, salesmen",1987
137,3000000,Other,USA,Other,Fantasy,9868521,Maid to Order,PG,31.07.1987 00:00,93,5.5,Ally Sheedy,2786,Amy Holden Jones,1987,1,2.289507,229,FALSE,2608,tt0093476,Maid to Order,"Spoiled Jessie Montgomery, whose wild behavior and spending excesses cause her well-meaning but exasperated millionaire father Charles to wish he never had her, is visited by fairy godmother Stella. In an effort to save Jessie, Stella casts a spell which causes Charles to no longer have a daughter. Jessie, now penniless and without a friend, must take a maid's job to earn a living, and hopefully to learn her lesson.",1.542276,"She was raised in a Beverly Hills mansion. Now, she's got to clean one.",Maid to Order,"Comedy, Fantasy","es, en",US,"wish, party, maid, woman director, fairy godmother, weird couple",1987
138,1000000,Other,Other,Other,Action,210200,Straight to Hell,R,26.06.1987 00:00,100,5.8,Sy Richardson,1924,Alex Cox,1987,0,-0.7898,-80,FALSE,9698,tt0094048,Straight to Hell,"A gang of bank robbers with a suitcase full of money go to the desert to hide out. After burying the loot, they find their way to a surreal town full of cowboys who drink an awful lot of coffee.",1.044389,"A story of blood, money, guns, coffee, and sexual tension.",Straight to Hell,"Action, Western, Comedy, Crime",en,GB,"punk, independent film, anarchic comedy",1987
139,12000000,TriStar Pictures,USA,Other,Comedy,5669831,Nadine,PG,7.08.1987 00:00,83,5.5,Jeff Bridges,3267,Robert Benton,1987,0,-0.527514083,-50,FALSE,61178,tt0093596,Nadine,"Hairdresser Nadine Hightower wants to retrieve the risqué photos she once posed for, but when she visits the photographer at his office, he's murdered by an intruder. Nadine talks her estranged husband, Vernon, into going along when she returns to the office, where they stumble across plans for a less than legal construction project. But when Vernon tries to turn the documents into a cash windfall, he and Nadine are pursued by goons with guns.",7.569698,They're a couple on the run... from each other.,Nadine,"Action, Comedy, Romance",en,US,"texas, murder, on the run",1987
140,1100000,Other,USA,Other,Action,1355728,From a Whisper to a Scream,R,4.09.1987 00:00,99,6.0,Vincent Price,1489,C. Courtney Joyner,1987,1,0.23248000000000002,20,FALSE,39895,tt0091671,From a Whisper to a Scream,"The uncle of an executed murderess relates four stories of his hometown, Oldfield, to a reporter. In the first, an elderly man pursues a romance with a younger woman, even to the grave and beyond. In the second, a wounded man on the run from creditors is rescued by a backwoods hermit who holds the secret to eternal life. In the third, a glass-eating carny pays the ultimate price for looking for love on the outside. And in the fourth, a group of Civil War soldiers are held captive by a household of orphans with strange intentions for them.",1.3920219999999999,Welcome to Oldfield. Stop in for a night of pure terror.,From a Whisper to a Scream,"Comedy, Horror","en, de",US,"civil war, narration, voodoo, necrophilia, anthology, librarian, freak show",1987
141,5000000,Other,USA,Other,Comedy,858250,Tough Guys Don't Dance,R,18.09.1987 00:00,110,4.8,Ryan O'Neal,1025,Norman Mailer,1987,0,-0.82835,-80,FALSE,78146,tt0094169,Tough Guys Don't Dance,"Writer, ex-con and 40-something bottle-baby Tim Madden, who is prone to black-outs, awakens from a two-week bender to discover a pool of blood in his car.",0.9570190000000001,A love story shadowed by murder. A comedy laced with horror.,Tough Guys Don't Dance,"Drama, Comedy, Crime, Mystery, Thriller",en,US,"gay, amnesia, massachusetts, police chief, murder, cancer, wealth, neo-noir",1987
142,14000000,Paramount Pictures,USA,Michael Apted,Comedy,20240502,Critical Condition,R,16.01.1987 00:00,100,5.2,Richard Pryor,2453,Denis Hamill,1987,1,0.445750143,40,FALSE,31563,tt0092798,Critical Condition,"Eddie is a con artist. But this time he's framed and comes before a judge. By claiming insanity, he hopes to get off the hook. He manages end up in a hospital for a mental examination. That night, a storm breaks out over New York, and the electricity to the hospital is broken. In the ensuing chaos that follows, Eddie is taken for a doctor. Suddenly he is in charge of a whole hospital!",2.4515130000000003,Guess who's playing doctor?,Critical Condition,Comedy,en,US,"hurricane, con artist",1987
143,12000000,Other,USA,Other,Drama,2325444,Weeds,R,16.10.1987 00:00,115,6.0,Nick Nolte,717,Dorothy Tristan,1987,0,-0.806213,-80,FALSE,96333,tt0094304,Weeds,"A San Quentin inmate, sentenced to life without paroll, writes a play that catches the interest of a reporter.",0.11729,Feel what it's like from the inside.,Weeds,Drama,en,US,,1987
144,15000000,Other,USA,Tim Burton,Comedy,73707461,Beetlejuice,PG,30.03.1988 00:00,92,7.5,Alec Baldwin,206997,Michael McDowell,1988,1,3.913830733,390,FALSE,4011,tt0094721,Beetlejuice,"Thanks to an untimely demise via drowning, a young couple end up as poltergeists in their New England farmhouse, where they fail to meet the challenge of scaring away the insufferable new owners, who want to make drastic changes. In desperation, the undead newlyweds turn to an expert frightmeister, but he's got a diabolical agenda of his own.",10.627364,He's guaranteed to put some life in your afterlife.,Beetlejuice,"Fantasy, Comedy",en,US,"minister, giant snake, skeleton, calypso, arts, afterlife, child bride, possession, surrealism, teenage girl, ghost",1988
145,39000000,Other,USA,Other,Comedy,128152300,Coming to America,R,29.06.1988 00:00,116,7.0,Eddie Murphy,130485,Eddie Murphy,1988,1,2.28595641,229,FALSE,9602,tt0094898,Coming to America,"Prince Akeem, heir to the throne of Zamunda, leaves the tropical paradise kingdom in search of his queen. What better place than Queens, New York to find his bride? Joined by his loyal servant and friend, Semmi, Akeem attempts to blend in as an ordinary American and begin his search.",7.830087,The Four Funniest Men in America are Eddie Murphy.,Coming to America,"Comedy, Romance",en,US,"fast food restaurant, prince, heir to the throne, fish out of water, new york city, fake identity, duringcreditsstinger, searching for love",1988
146,28000000,Twentieth Century Fox Film Corporation,USA,Other,Action,83008852,Die Hard,R,20.07.1988 00:00,131,8.2,Bruce Willis,647000,Roderick Thorp,1988,1,1.964601857,200,FALSE,562,tt0095016,Die Hard,"NYPD cop, John McClane's plan to reconcile with his estranged wife is thrown for a serious loop when minutes after he arrives at her office, the entire building is overtaken by a group of terrorists. With little help from the LAPD, wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down.",16.640522,40 Stories. Twelve Terrorists. One Cop.,Die Hard,"Action, Thriller","en, de, it",US,"helicopter, journalist, based on novel, terrorist, skyscraper, christmas party, s.w.a.t., hostage, kidnapping, vault, fistfight, murder, heist, shootout, los angeles, one man army, explosion, violence, fbi agent, walkie talkie, christmas eve, elevator shaft, one night, action hero",1988
147,35000000,Metro-Goldwyn-Mayer (MGM),USA,Ron Howard,Action,57269863,Willow,PG,20.05.1988 00:00,126,7.3,Val Kilmer,86056,George Lucas,1988,1,0.6362818,60,FALSE,847,tt0096446,Willow,"Fearful of a prophecy stating that a girl child will be born to bring about her downfall, the evil Queen Bavmorda imprisons all pregnant women within the formidable stronghold of Nockmaar. A child, Elora Danan, is born in the Nockmaar dungeons and identified as the prophesied child by a birthmark on her arm. However, before the black sorceress arrives to claim the child, Elora's mother convinces her reluctant midwife to escape with the baby. Willow, a timid farmer and aspiring sorcerer, is entrusted with delivering the royal infant from evil.",9.918312,Adventure doesn't come any bigger than this.,Willow,"Adventure, Drama, Action",en,US,"prophecy, falsely accused, baby, monster, hero, queen, traitor, magic, fantasy, castle, sorcerer's apprentice, black magic, aggression by animal, mission",1988
148,3000000,Other,USA,Other,Comedy,1108462,Heathers,R,31.03.1989 00:00,103,7.3,Winona Ryder,67238,Daniel Waters,1988,0,-0.6305126670000001,-60,FALSE,2640,tt0097493,Heathers,"A girl who halfheartedly tries to be part of the ""in crowd"" of her school meets a rebel who teaches her a more devious way to play social politics: by killing the popular kids.",13.311827,"Best friends, social trends, and occasional murder.",Heathers,"Thriller, Comedy, Drama","en, it",US,"suicide, diary, friendship, high school, dark comedy, clique",1989
149,25000000,Other,USA,Barry Levinson,Drama,172825435,Rain Man,R,16.12.1988 00:00,133,8.0,Dustin Hoffman,408473,Barry Morrow,1988,1,5.9130174,590,FALSE,380,tt0095953,Rain Man,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.,11.267467,A journey through understanding and fellowship.,Rain Man,Drama,"it, en",US,"individual, mentally disabled, autism, loss of father, yuppie, car dealer, egocentrism, travel, convertible, psychiatrist, duringcreditsstinger, savant",1988
150,4000000,Other,USA,Other,Action,13008928,They Live,R,4.11.1988 00:00,94,7.3,Roddy Piper,83379,Ray Nelson,1988,1,2.252232,229,FALSE,8337,tt0096256,They Live,"Nada, a down-on-his-luck construction worker, discovers a pair of special sunglasses. Wearing them, he is able to see the world as it really is: people being bombarded by media and government with messages like ""Stay Asleep"", ""No Imagination"", ""Submit to Authority"". Even scarier is that he is able to see that some usually normal-looking people are in fact ugly aliens in charge of the massive campaign to keep humans subdued.",11.292364,Who are they? And what do they want?,They Live,"Action, Horror, Science Fiction, Thriller",en,US,"dystopia, social commentary, alien invasion, sunglasses, brawl",1988
151,70000000,Touchstone Pictures,USA,Robert Zemeckis,Animation,156452370,Who Framed Roger Rabbit,PG,22.06.1988 00:00,104,7.7,Bob Hoskins,153513,Gary K. Wolf,1988,1,1.2350338570000001,120,FALSE,856,tt0096438,Who Framed Roger Rabbit,"'Toon star Roger is worried that his wife Jessica is playing pattycake with someone else, so the studio hires detective Eddie Valiant to snoop on her. But the stakes are quickly raised when Marvin Acme is found dead and Roger is the prime suspect.",16.78596,"It's the story of a man, a woman, and a rabbit in a triangle of trouble.",Who Framed Roger Rabbit,"Fantasy, Animation, Comedy, Crime, Family",en,US,"falsely accused, film business, hiding place, suspicion of murder, mental breakdown, innocence, cartoon, cartoon sex, love sickness, private detective, movie star, live action and animation",1988
152,18000000,Other,USA,Other,Comedy,114968774,Big,PG,3.06.1988 00:00,104,7.3,Tom Hanks,164257,Gary Ross,1988,1,5.387154111,540,FALSE,2280,tt0094737,Big,"A young boy, Josh Baskin makes a wish at a carnival machine to be big. He wakes up the following morning to find that it has been granted and his body has grown older overnight. But he is still the same 13-year-old boy inside. Now he must learn how to cope with the unfamiliar world of grown-ups including getting a job and having his first romantic encounter with a woman. What will he find out about this strange world?",9.562292,You're Only Young Once But For Josh It Might Just Last A Lifetime.,Big,"Fantasy, Drama, Comedy, Romance, Family",en,US,"baseball, co-worker, bronx, pinball machine, toy maker, duet, job promotion, homesick, new toy, quarter, unplugged electronic works, yankee stadium bronx new york city, walking on piano keys, wish fulfillment, bunk bed, woman director",1988
153,3500000,Other,USA,Other,Fantasy,4385516,Pumpkinhead,R,13.01.1989 00:00,86,6.2,Lance Henriksen,15572,Ed Justin,1988,1,0.253004571,30,FALSE,26515,tt0095925,Pumpkinhead,A man conjures up a gigantic vengeance demon called Pumpkinhead to destroy the teenagers who accidentally killed his son.,11.841505999999999,For each of man's evils a special demon exists...,Pumpkinhead,"Fantasy, Horror",en,US,"witch, cabin, death of a child, murder, pumpkin, demon, evil, storekeeper, vengeance",1989
154,7500000,Metro-Goldwyn-Mayer (MGM),Other,Other,Comedy,63493712,A Fish Called Wanda,R,5.08.1988 00:00,108,7.6,John Cleese,114144,John Cleese,1988,1,7.465828267000001,750,FALSE,623,tt0095159,A Fish Called Wanda,"A diamond advocate is attempting to steal a collection of diamonds, yet troubles arise when he realizes that he is not the only one after the diamonds.",11.400352999999999,"A tale of murder, lust, greed, revenge, and seafood.",A Fish Called Wanda,"Comedy, Crime","en, it, ru","GB, US","robbery, infidelity, cheating, heart attack, heist, lawyer, silencer, courtroom, american abroad, cult film, animal abuse, barrister, stuttering, weir, yelling, killing a dog, cutical scissors, run over by a steamroller, gag, excuse, barrel, zoophilia, screwball, stolen jewelry",1988
155,2000000,Other,USA,Other,Comedy,15625095,Killer Klowns from Outer Space,PG-13,27.05.1988 00:00,88,6.1,Grant Cramer,25440,Charles Chiodo,1988,1,6.812547500000001,680,FALSE,16296,tt0095444,Killer Klowns from Outer Space,"Aliens, who look like clowns, arrive on Earth to capture and harvest people in order to use them as sustenance.",6.9068309999999995,"In space, no one can eat ice cream.",Killer Klowns from Outer Space,"Comedy, Horror, Science Fiction","en, fr",US,"clown, circus tent, ice cream truck, lovers lane, shadow puppet, net, drinking straw, pie in the face, evil clown",1988
156,30000000,Universal Pictures,USA,Other,Action,38413606,Midnight Run,R,20.07.1988 00:00,126,7.6,Robert De Niro,58318,George Gallo,1988,1,0.28045353300000003,30,FALSE,9013,tt0095631,Midnight Run,"An accountant embezzles $15 million of mob money, jumps bail and is chased by bounty hunters, the FBI, and the Mafia.",5.564321,This could be the beginning of a beautiful friendship.,Midnight Run,"Adventure, Comedy, Crime","cs, en",US,"crooked lawyer, bail jumper, mafia accountant, stretch limousine, manhattan, new york city, southwestern u.s., bus station, police surveillance",1988
157,3000000,Other,Other,Other,Horror,11090735,Hellbound: Hellraiser II,R,23.12.1988 00:00,97,6.5,Doug Bradley,33241,Clive Barker,1988,1,2.6969116669999997,270,FALSE,9064,tt0095294,Hellbound: Hellraiser II,"Doctor Channard is sent a new patient, a girl warning of the terrible creatures that have destroyed her family, Cenobites who offer the most intense sensations of pleasure and pain. But Channard has been searching for the doorway to Hell for years, and Kirsty must follow him to save her father and witness the power struggles among the newly damned.",8.541732000000001,Time to play.,Hellbound: Hellraiser II,"Horror, Thriller",en,GB,"seduction, pain, hell, pinhead, sequel, betrayal, mad doctor, blood, sexual imagery, torture, demon, skin, puzzle box, labyrinth, mattress, british soldier, ring of fire, self mutilation, cenobites, mental hospital",1988
158,15000000,Other,USA,Other,Crime,34603943,Mississippi Burning,R,27.01.1989 00:00,128,7.8,Gene Hackman,70539,Chris Gerolmo,1988,1,1.306929533,130,FALSE,1632,tt0095647,Mississippi Burning,"Two FBI agents investigating the murder of civil rights workers during the 60s seek to breach the conspiracy of silence in a small Southern town where segregation divides black and white. The younger agent trained in FBI school runs up against the small town ways of his, former Sheriff, partner.",13.971865,1964. When America was at war with itself.,Mississippi Burning,"Thriller, Crime, Drama",en,US,"suicide, ku klux klan, mississippi, sheriff, shotgun, deputy sheriff, fbi, motel, funeral, u.s. navy, victim of murder, burning cross, police, rope, racism, violence, fbi agent, based on true events",1989
159,12000000,Paramount Pictures,USA,Other,Comedy,78041829,The Naked Gun: From the Files of Police Squad!,PG-13,2.12.1988 00:00,85,7.6,Leslie Nielsen,124515,Jerry Zucker,1988,1,5.50348575,550,FALSE,37136,tt0095705,The Naked Gun: From the Files of Police Squad!,"When the incompetent Officer Frank Drebin seeks the ruthless killer of his partner, he stumbles upon an attempt to assassinate Queen Elizabeth.",15.698222,The Villain. Even Mother Teresa wanted him dead.,The Naked Gun: From the Files of Police Squad!,"Comedy, Crime",en,US,"baseball, aquarium, queen elisabeth ii, terrorism, illegal drugs, criminal investigation, buddy cop, anarchic comedy",1988
160,1100000,Other,USA,Other,Action,11806119,Bloodsport,R,29.04.1988 00:00,92,6.8,Jean-Claude Van Damme,63368,Sheldon Lettich,1988,1,9.732835455,969,FALSE,11690,tt0092675,Bloodsport,"Frank Dux has entered the ""kumite"", an illegal underground martial-arts competition where serious injury and even death are not unknown. Chong Li, a particularly ruthless and vicious fighter is the favorite, but then again Dux has not fought him yet.",8.822275999999999,The true story of an American ninja.,Bloodsport,Action,en,US,"martial arts, biography, sport, sensei, mixed martial arts, hong kong",1988
161,28000000,Twentieth Century Fox Film Corporation,USA,Other,Comedy,64000000,Working Girl,R,21.12.1988 00:00,113,6.7,Melanie Griffith,44277,Kevin Wade,1988,1,1.285714286,130,FALSE,3525,tt0096463,Working Girl,"Witty, romantic look at life in the corporate jungle. Tess McGill is an ambitious secretary with a unique approach for climbing the ladder to success. When her classy, but villainous boss breaks a leg skiing, Tess takes over her office, her apartment and even her wardrobe. She creates a deal with a handsome investment banker that will either take her to the top, or finish her off for good.",8.318954,For anyone who's ever won. For anyone who's ever lost. And for everyone who's still in there trying.,Working Girl,"Comedy, Drama, Romance","de, en",US,"love triangle, clerk, business, new york city",1988
162,14000000,Paramount Pictures,Other,Other,Action,109305000,Crocodile Dundee II,PG,25.05.1988 00:00,108,5.5,Paul Hogan,46738,Paul Hogan,1988,1,6.8075,680,FALSE,9396,tt0092493,Crocodile Dundee II,Australian outback expert protects his New York love from gangsters who've followed her down under.,8.948564999999999,The world's favourite adventurer is back for more! much more!,Crocodile Dundee II,"Adventure, Comedy",en,"AU, US","new york, crocodile, australia, large knife, aftercreditsstinger",1988
163,12500000,Universal Pictures,USA,Other,Animation,48092846,The Land Before Time,G,18.11.1988 00:00,69,7.4,Pat Hingle,66623,Stu Krieger,1988,1,2.84742768,280,FALSE,12144,tt0095489,The Land Before Time,"An orphaned brontosaurus named Littlefoot sets off in search of the legendary Great Valley. A land of lush vegetation where the dinosaurs can thrive and live in peace. Along the way he meets four other young dinosaurs, each one a different species, and they encounter several obstacles as they learn to work together in order to survive.",13.631352,A new adventure is born.,The Land Before Time,"Animation, Adventure, Family",en,"IE, US","vulkan, loss of mother, tyrannosaurus rex, earthquake, primitive time, dinosaur",1988
164,15000000,Universal Pictures,USA,Other,Comedy,111936400,Twins,PG,9.12.1988 00:00,107,6.0,Arnold Schwarzenegger,94295,William Davies,1988,1,6.462426667000001,650,FALSE,9493,tt0096320,Twins,Julius and Vincent Benedict are the results of an experiment that would allow for the perfect child. Julius was planned and grows to athletic proportions. Vincent is an accident and is somewhat smaller in stature. Vincent is placed in an orphanage while Julius is taken to a south seas island and raised by philosophers. Vincent becomes the ultimate low life and is about to be killed by loan sharks.,5.952494000000001,Only their mother can tell them apart.,Twins,Comedy,en,US,"perfection, delivery, low intelligence, jet engine, twins separated at birth, artist colony, same habits, biological experiment, opposites, catholic orphanage",1988
165,17000000,Other,USA,Other,Drama,10006806,The Unbearable Lightness of Being,R,5.02.1988 00:00,171,7.4,Daniel Day-Lewis,28868,Milan Kundera,1988,0,-0.41136435299999996,-40,FALSE,10644,tt0096332,The Unbearable Lightness of Being,"Successful surgeon Tomas leaves Prague for an operation, meets a young photographer named Tereza, and brings her back with him. Tereza is surprised to learn that Tomas is already having an affair with the bohemian Sabina, but when the Soviet invasion occurs, all three flee to Switzerland. Sabina begins an affair, Tom continues womanizing, and Tereza, disgusted, returns to Czechoslovakia. Realizing his mistake, Tomas decides to chase after her.",6.8151470000000005,A lovers' story,The Unbearable Lightness of Being,"Comedy, Romance",en,US,"free love, infidelity, loyalty, soviet union, soviet troops, prague, lover, partnership, communism",1988
166,5000000,Other,USA,Other,Horror,17768757,Halloween 4: The Return of Michael Myers,R,21.10.1988 00:00,88,5.9,Donald Pleasence,32498,Dhani Lipsius,1988,1,2.5537514,260,FALSE,11357,tt0095271,Halloween 4: The Return of Michael Myers,"The legend of that creepy masked-man, Michael Myers, comes to life once again in this fourth installment of the successful horror franchise. This time, it's Michael's niece, Jamie, who can't seem to escape her crazy uncle. With Michael on the loose, Jamie enlists the help of good old Dr. Loomis to stop the murderer. This time, though, there seems to be no end to Michael's madness.",6.199806,Horror has returned to Haddonfield.,Halloween 4: The Return of Michael Myers,"Horror, Thriller",en,US,"sheriff, scissors, ambulance, halloween, twist, knife, sequel, murder, serial killer, masked killer, blood, niece, evil, michael myers, october",1988
